ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,revenue,profit_margin
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0.0,23.5116,83.97,28.0
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0.0,7.3479,104.97,7.0
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Storage,90.8,8,0.0,25.424,90.8,28.0
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,140.736,8,0.2,49.2576,140.736,35.0
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,214.95,5,0.0,88.1295,214.95,41.0
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,45.36,7,0.0,21.7728,45.36,48.0
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,288.24,6,0.0,138.3552,288.24,48.0
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992,663.936,12.5
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691,2934.33,27.0
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292,124.41,12.0
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,57.75,5,0.0,26.565,57.75,46.0
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,28.615,114.46,25.0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Bookcases,120.666,2,0.15,18.4548,120.666,15.29
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722,342.864,11.25
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229,16.74,-85.0
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196,981.372,-14.29
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Art,31.84,8,0.0,10.5072,31.84,33.0
First Class,Home Office,United States,Apple Valley,California,92307,West,Office Supplies,Paper,12.96,2,0.0,6.2208,12.96,48.0
First Class,Home Office,United States,Apple Valley,California,92307,West,Technology,Phones,43.176,3,0.2,15.1116,43.176,35.0
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Office Supplies,Binders,58.34,2,0.0,28.0032,58.34,48.0
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Technology,Phones,539.97,3,0.0,134.9925,539.97,25.0
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,3.928,1,0.2,1.3257,3.928,33.75
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936,252.784,-165.0
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998,127.984,12.5
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892,3.984,-67.5
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,12.992,-250.0
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,61.0,5,0.0,25.62,61.0,42.0
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,671.93,7,0.0,188.1404,671.93,28.0
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Binders,447.86,7,0.0,219.4514,447.86,49.0
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0.0,129.5865,479.95,27.0
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912,166.44,48.0
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,31.68,8.75
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,10.368,35.0
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256,12.032,18.75
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548,5.768,-235.0
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592,33.12,35.0
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,220.2656,-19.12
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022,10.776,32.5
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882,242.352,3.75
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758,695.16,5.0
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254,220.98,23.0
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,12.957,7,0.7,-9.5018,12.957,-73.33
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556,25.68,45.0
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956,15.712,36.25
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156,298.464,8.75
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878,21.93,46.0
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588,242.94,2.0
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436,7.64,49.0
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016,51.84,49.0
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306,265.17,18.0
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,0.2,62.82,837.6,7.5
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Envelopes,135.9,5,0.0,63.873,135.9,47.0
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,34.68,6,0.0,16.9932,34.68,49.0
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,0.2,-39.9528,532.704,-7.5
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,43.1,5,0.0,11.206,43.1,26.0
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Supplies,15.88,4,0.0,0.1588,15.88,1.0
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,0.2,-182.637,1123.92,-16.25
First Class,Corporate,United States,Lakeland,Florida,33801,South,Technology,Phones,249.584,2,0.2,31.198,249.584,12.5
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,0.2,7.3008,48.672,15.0
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Art,60.768,2,0.2,7.596,60.768,12.5
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,78.6,5,0.7,-62.88,78.6,-80.0
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,3.768,2,0.7,-3.14,3.768,-83.33
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,1036.624,2,0.2,51.8312,1036.624,5.0
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,563.808,4,0.2,21.1428,563.808,3.75
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,0.4,-47.3968,258.528,-18.33
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,49.12,4,0.0,23.0864,49.12,47.0
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,14.6718,44.46,33.0
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Chairs,241.568,2,0.2,18.1176,241.568,7.5
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,39.5,395.0,10.0
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Phones,627.168,4,0.2,70.5564,627.168,11.25
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,13.28,48.0
First Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Binders,12.672,3,0.2,4.4352,12.672,35.0
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84,30.56,-150.0
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904,77.952,-20.0
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499,67.992,12.5
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312,12.224,36.25
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598,44.784,-1.25
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072,22.848,-77.5
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292,206.43,44.0
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272,210.392,-160.0
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,0.2,35.988,119.96,30.0
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,10.608,6,0.2,0.9282,10.608,8.75
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843,347.802,-7.14
Second Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,0.2,108.3528,963.136,11.25
Second Class,Corporate,United States,Seattle,Washington,98105,West,Technology,Phones,88.776,3,0.2,7.7679,88.776,8.75
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Art,32.4,5,0.0,10.368,32.4,32.0
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552,32.4,48.0
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,31.05,3,0.0,14.904,31.05,48.0
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608,2025.36,30.0
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912,1799.994,-146.67
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,0.4,-16.998,101.988,-16.67
First Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,0.2,69.0018,262.864,26.25
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191,735.98,45.0
Second Class,Home Office,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,93.024,3,0.2,33.7212,93.024,36.25
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,284.364,2,0.4,-75.8304,284.364,-26.67
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,26.0,45.0
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Storage,67.64,5,0.2,5.9185,67.64,8.75
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,119.976,3,0.2,-17.9964,119.976,-15.0
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029,5.18,-155.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,15.56,2,0.0,7.3132,15.56,47.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,78.35,5,0.0,36.8245,78.35,47.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,59.52,3,0.0,15.4752,59.52,26.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,38.52,9,0.0,17.334,38.52,45.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,239.984,2,0.2,23.9984,239.984,10.0
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,19.35,3,0.0,9.4815,19.35,49.0
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16,67.0,48.0
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Furniture,Chairs,390.272,8,0.2,-24.392,390.272,-6.25
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Office Supplies,Paper,62.192,13,0.2,19.435,62.192,31.25
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,23.88,6,0.0,11.2236,23.88,47.0
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,3.168,-150.0
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,528.43,0.0
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066,13.392,11.25
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208,181.86,28.0
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Bookcases,180.588,2,0.7,-240.784,180.588,-133.33
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Technology,Accessories,47.984,2,0.2,0.5998,47.984,1.25
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,18.76,2,0.0,9.0048,18.76,48.0
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,20.94,3,0.0,6.0726,20.94,29.0
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,58.68,2,0.0,18.1908,58.68,31.0
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,254.9,5,0.0,68.823,254.9,27.0
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,9.64,2,0.0,4.4344,9.64,46.0
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,826.62,43.0
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106,1633.14,29.0
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702,544.38,29.0
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,26.046,-170.0
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526,74.352,36.25
Standard Class,Corporate,United States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0.0,32.1678,69.93,46.0
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Labels,3.75,1,0.0,1.8,3.75,48.0
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Binders,20.928,4,0.2,7.5864,20.928,36.25
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,12.672,3,0.2,-3.168,12.672,-25.0
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,65.99,1,0.0,17.1574,65.99,26.0
Standard Class,Corporate,United States,Missouri City,Texas,77489,Central,Office Supplies,Binders,6.37,7,0.8,-9.555,6.37,-150.0
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192,3.648,-165.0
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,31.104,6,0.2,10.8864,31.104,35.0
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Fasteners,23.34,3,0.0,0.2334,23.34,1.0
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,29.97,3,0.0,14.0859,29.97,47.0
Same Day,Consumer,United States,Tempe,Arizona,85281,West,Office Supplies,Binders,3.366,3,0.7,-2.244,3.366,-66.67
Standard Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,95.968,4,0.2,9.5968,95.968,10.0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,18.704,7,0.2,2.338,18.704,12.5
Second Class,Consumer,United States,Akron,Ohio,44312,East,Furniture,Furnishings,149.232,3,0.2,3.7308,149.232,2.5
Second Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,15.936,4,0.2,5.7768,15.936,36.25
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Phones,601.536,8,0.2,60.1536,601.536,10.0
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,10.99,1,0.0,4.2861,10.99,39.0
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,39.88,2,0.0,11.1664,39.88,28.0
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,62.24,8,0.0,28.008,62.24,45.0
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,53.2,5,0.0,14.896,53.2,28.0
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Labels,39.84,8,0.0,18.3264,39.84,46.0
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Accessories,349.95,5,0.0,118.983,349.95,34.0
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Phones,377.928,9,0.2,141.723,377.928,37.5
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022,13.392,37.5
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Binders,11.228,7,0.8,-18.5262,11.228,-165.0
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Office Supplies,Appliances,207.24,11,0.0,58.0272,207.24,28.0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,1.504,1,0.2,0.1692,1.504,11.25
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.848,2,0.2,6.534,34.848,18.75
First Class,Consumer,United States,San Mateo,California,94403,West,Office Supplies,Labels,75.18,6,0.0,35.3346,75.18,47.0
Standard Class,Consumer,United States,Oakland,California,94601,West,Technology,Accessories,149.97,3,0.0,52.4895,149.97,35.0
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,931.176,3,0.2,314.2719,931.176,33.75
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,430.88,2,0.0,124.9552,430.88,29.0
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Paper,94.85,5,0.0,45.528,94.85,48.0
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Envelopes,51.12,4,0.0,23.004,51.12,45.0
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Technology,Accessories,90.0,1,0.0,32.4,90.0,36.0
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Paper,9.408,2,0.2,3.4104,9.408,36.25
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Fasteners,4.672,2,0.2,1.46,4.672,31.25
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,318.4,2,0.2,107.46,318.4,33.75
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Envelopes,12.768,6,0.2,4.6284,12.768,36.25
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Supplies,15.36,2,0.2,-3.264,15.36,-21.25
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,230.376,3,0.2,20.1579,230.376,8.75
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Accessories,7.16,1,0.2,-0.0895,7.16,-1.25
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,375.34,1,0.0,18.767,375.34,5.0
Second Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,114.9,5,0.0,39.066,114.9,34.0
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,26.046,-170.0
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,2.896,1,0.8,-4.7784,2.896,-165.0
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,32.544,2,0.2,-7.7292,32.544,-23.75
First Class,Consumer,United States,Riverside,California,92503,West,Office Supplies,Binders,3.984,1,0.2,1.3944,3.984,35.0
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Furniture,Tables,181.797,1,0.3,-15.5826,181.797,-8.57
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,44.94,3,0.0,12.5832,44.94,28.0
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,45.576,3,0.2,15.9516,45.576,35.0
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333,318.43,-24.29
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095,122.92,37.5
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272,7.068,-40.0
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,56.45,5,0.0,14.677,56.45,26.0
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956,13.468,-170.0
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Technology,Phones,219.8,5,0.2,24.7275,219.8,11.25
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,317.058,-5.71
Second Class,Corporate,United States,Seattle,Washington,98103,West,Technology,Accessories,49.08,3,0.0,4.908,49.08,10.0
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,324.9,5,0.0,38.988,324.9,12.0
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,18.24,3,0.0,5.2896,18.24,29.0
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Furniture,Chairs,113.888,2,0.2,9.9652,113.888,8.75
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Technology,Phones,105.584,2,0.2,7.9188,105.584,7.5
Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Fasteners,24.85,7,0.0,11.6795,24.85,47.0
First Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,60.312,3,0.2,5.2773,60.312,8.75
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.056,3,0.2,2.205,7.056,31.25
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Phones,27.184,2,0.2,2.0388,27.184,7.5
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Phones,107.984,1,0.2,9.4486,107.984,8.75
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,19.296,3,0.2,6.03,19.296,31.25
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,4.608,2,0.2,1.6704,4.608,36.25
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Tables,79.974,3,0.4,-29.3238,79.974,-36.67
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Office Supplies,Binders,2.946,2,0.7,-2.0622,2.946,-70.0
Standard Class,Home Office,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,3.136,2,0.8,-4.704,3.136,-150.0
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Paper,20.736,4,0.2,7.2576,20.736,35.0
First Class,Corporate,United States,San Francisco,California,94109,West,Technology,Accessories,99.98,2,0.0,7.9984,99.98,8.0
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,733.95,7,0.0,352.296,733.95,48.0
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Appliances,241.44,3,0.0,72.432,241.44,30.0
Second Class,Corporate,United States,Miami,Florida,33180,South,Office Supplies,Labels,10.08,4,0.2,3.528,10.08,35.0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,281.904,2,0.2,10.5714,281.904,3.75
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,201.432,3,0.2,67.9833,201.432,33.75
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,135.98,2,0.0,33.995,135.98,25.0
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,44.95,1,0.0,12.586,44.95,28.0
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068,2.97,44.0
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Fasteners,6.54,3,0.0,2.6814,6.54,41.0
Second Class,Corporate,United States,Visalia,California,93277,West,Technology,Accessories,7.92,8,0.0,3.4848,7.92,44.0
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,203.92,5,0.2,22.941,203.92,11.25
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Copiers,3359.952,6,0.2,1049.985,3359.952,31.25
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12,18.24,50.0
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Art,27.78,6,0.0,9.1674,27.78,33.0
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Art,22.96,7,0.0,7.5768,22.96,33.0
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Technology,Phones,28.99,1,0.0,8.4071,28.99,29.0
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,12.96,2,0.0,6.3504,12.96,49.0
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Art,22.96,7,0.0,6.6584,22.96,29.0
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Supplies,4164.05,5,0.0,83.281,4164.05,2.0
Standard Class,Consumer,United States,Raleigh,North Carolina,27604,South,Technology,Accessories,47.984,2,0.2,13.1956,47.984,27.5
Standard Class,Consumer,United States,Raleigh,North Carolina,27604,South,Office Supplies,Paper,4.624,1,0.2,1.6762,4.624,36.25
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,15.24,3,0.0,5.1816,15.24,34.0
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,63.924,7,0.7,-46.8776,63.924,-73.33
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Art,6.56,2,0.0,1.9024,6.56,29.0
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Appliances,13.11,3,0.0,3.4086,13.11,26.0
